name,price,link,image,category
Nike Wmns Court Legacy Lift Gfx 2 Laced Shoes - White, 4070.00,https://www.jumia.com.eg/nike-wmns-court-legacy-lift-gfx-2-laced-shoes-white-130605797.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/7506031/2.jpg?4026,shoes
Reebok Energen Tech Sneakers - White, 2456.00,https://www.jumia.com.eg/reebok-energen-tech-sneakers-white-130977808.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/8779031/1.jpg?2503,shoes
Nike Wmns Court Legacy Lift Womens Footwear, 3981.00 -  4016.00,https://www.jumia.com.eg/nike-wmns-court-legacy-lift-womens-footwear-129943017.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0349921/5.jpg?3737,shoes
Nike W Court Vision Lo Nn Ms Laced Shoes - White, 3957.00,https://www.jumia.com.eg/nike-w-court-vision-lo-nn-ms-laced-shoes-white-130605798.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/7506031/1.jpg?2644,shoes
Reebok Court Retro Sneakers - Black, 2171.00,https://www.jumia.com.eg/reebok-court-retro-sneakers-black-130977823.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/8779031/1.jpg?2399,shoes
Reebok Energen Lux Sneakers - Grey, 2171.00,https://www.jumia.com.eg/reebok-energen-lux-sneakers-grey-130977832.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/8779031/1.jpg?2373,shoes
mintra a Women's Cai Wire Easy Wear Sneakers - Blue x White, 450.00,https://www.jumia.com.eg/mintra-a-womens-cai-wire-easy-wear-sneakers-blue-x-white-130113277.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/2311031/1.jpg?3406,shoes
Nike W City Rep Tr Laced Shoes - Grey & White, 6349.00,https://www.jumia.com.eg/nike-w-city-rep-tr-laced-shoes-grey-white-91942223.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/224919/2.jpg?5225,shoes
Toobaco Women Casual Leather Sneakers, 192.50 -  275.00,https://www.jumia.com.eg/women-casual-leather-sneakers-toobaco-mpg943296.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/980442/1.jpg?2155,shoes
Puma Softride Orla Black-Shadow Gray-Bri Shoes, 2704.00,https://www.jumia.com.eg/puma-softride-orla-black-shadow-gray-bri-shoes-131477682.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/6774131/1.jpg?7922,shoes
